#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1294   0.710035E+03  -0.265470E+02   0.167237E-05  -0.265470E+02   0.325021E+02  -0.346706E-06   0.167237E-05  -0.346706E-06   0.349126E-08
  1295   0.708838E+03  -0.273975E+02   0.168420E-05  -0.273975E+02   0.325337E+02  -0.346947E-06   0.168420E-05  -0.346947E-06   0.348603E-08
  1296   0.707715E+03  -0.282474E+02   0.169606E-05  -0.282474E+02   0.325613E+02  -0.347163E-06   0.169606E-05  -0.347163E-06   0.348081E-08
  1297   0.706662E+03  -0.290967E+02   0.170774E-05  -0.290967E+02   0.325840E+02  -0.347313E-06   0.170774E-05  -0.347313E-06   0.347560E-08
  1298   0.705682E+03  -0.299448E+02   0.171893E-05  -0.299448E+02   0.326027E+02  -0.347673E-06   0.171893E-05  -0.347673E-06   0.347041E-08
  1299   0.704771E+03  -0.307916E+02   0.172996E-05  -0.307916E+02   0.326164E+02  -0.347964E-06   0.172996E-05  -0.347964E-06   0.346522E-08
  1300   0.703933E+03  -0.316365E+02   0.174097E-05  -0.316365E+02   0.326261E+02  -0.348253E-06   0.174097E-05  -0.348253E-06   0.346005E-08
  1301   0.703163E+03  -0.324792E+02   0.175192E-05  -0.324792E+02   0.326309E+02  -0.348424E-06   0.175192E-05  -0.348424E-06   0.345488E-08
  1302   0.702465E+03  -0.333194E+02   0.176288E-05  -0.333194E+02   0.326316E+02  -0.348565E-06   0.176288E-05  -0.348565E-06   0.344973E-08
  1303   0.701835E+03  -0.341567E+02   0.177376E-05  -0.341567E+02   0.326274E+02  -0.348593E-06   0.177376E-05  -0.348593E-06   0.344459E-08
  1304   0.701275E+03  -0.349909E+02   0.178464E-05  -0.349909E+02   0.326191E+02  -0.348593E-06   0.178464E-05  -0.348593E-06   0.343945E-08
  1305   0.700783E+03  -0.358213E+02   0.179543E-05  -0.358213E+02   0.326059E+02  -0.348476E-06   0.179543E-05  -0.348476E-06   0.343433E-08
  1306   0.700360E+03  -0.366479E+02   0.180623E-05  -0.366479E+02   0.325888E+02  -0.348331E-06   0.180623E-05  -0.348331E-06   0.342922E-08
  1307   0.700004E+03  -0.374702E+02   0.181692E-05  -0.374702E+02   0.325667E+02  -0.348074E-06   0.181692E-05  -0.348074E-06   0.342413E-08
  1308   0.699716E+03  -0.382879E+02   0.182760E-05  -0.382879E+02   0.325406E+02  -0.347787E-06   0.182760E-05  -0.347787E-06   0.341904E-08
  1309   0.699493E+03  -0.391006E+02   0.183783E-05  -0.391006E+02   0.325097E+02  -0.347646E-06   0.183783E-05  -0.347646E-06   0.341396E-08
  1310   0.699337E+03  -0.399080E+02   0.184795E-05  -0.399080E+02   0.324747E+02  -0.347545E-06   0.184795E-05  -0.347545E-06   0.340889E-08
  1311   0.699245E+03  -0.407097E+02   0.185791E-05  -0.407097E+02   0.324350E+02  -0.347383E-06   0.185791E-05  -0.347383E-06   0.340384E-08
  1312   0.699219E+03  -0.415056E+02   0.186788E-05  -0.415056E+02   0.323913E+02  -0.347190E-06   0.186788E-05  -0.347190E-06   0.339879E-08
  1313   0.699256E+03  -0.422951E+02   0.187773E-05  -0.422951E+02   0.323429E+02  -0.346891E-06   0.187773E-05  -0.346891E-06   0.339376E-08
  1314   0.699357E+03  -0.430781E+02   0.188756E-05  -0.430781E+02   0.322905E+02  -0.346557E-06   0.188756E-05  -0.346557E-06   0.338873E-08
  1315   0.699520E+03  -0.438540E+02   0.189726E-05  -0.438540E+02   0.322334E+02  -0.346117E-06   0.189726E-05  -0.346117E-06   0.338372E-08
  1316   0.699745E+03  -0.446228E+02   0.190694E-05  -0.446228E+02   0.321725E+02  -0.345645E-06   0.190694E-05  -0.345645E-06   0.337872E-08
  1317   0.700033E+03  -0.453842E+02   0.191656E-05  -0.453842E+02   0.321075E+02  -0.345116E-06   0.191656E-05  -0.345116E-06   0.337372E-08
  1318   0.700377E+03  -0.461372E+02   0.192599E-05  -0.461372E+02   0.320375E+02  -0.344455E-06   0.192599E-05  -0.344455E-06   0.336874E-08
  1319   0.700784E+03  -0.468825E+02   0.193543E-05  -0.468825E+02   0.319641E+02  -0.343788E-06   0.193543E-05  -0.343788E-06   0.336377E-08
  1320   0.701246E+03  -0.476189E+02   0.194450E-05  -0.476189E+02   0.318859E+02  -0.343151E-06   0.194450E-05  -0.343151E-06   0.335881E-08
  1321   0.701769E+03  -0.483470E+02   0.195348E-05  -0.483470E+02   0.318042E+02  -0.342645E-06   0.195348E-05  -0.342645E-06   0.335386E-08
  1322   0.702346E+03  -0.490654E+02   0.196219E-05  -0.490654E+02   0.317178E+02  -0.342085E-06   0.196219E-05  -0.342085E-06   0.334892E-08
  1323   0.702981E+03  -0.497751E+02   0.197093E-05  -0.497751E+02   0.316280E+02  -0.341513E-06   0.197093E-05  -0.341513E-06   0.334398E-08
  1324   0.703669E+03  -0.504745E+02   0.197947E-05  -0.504745E+02   0.315335E+02  -0.340812E-06   0.197947E-05  -0.340812E-06   0.333906E-08
  1325   0.704413E+03  -0.511645E+02   0.198807E-05  -0.511645E+02   0.314357E+02  -0.340102E-06   0.198807E-05  -0.340102E-06   0.333415E-08
  1326   0.705207E+03  -0.518438E+02   0.199642E-05  -0.518438E+02   0.313334E+02  -0.339265E-06   0.199642E-05  -0.339265E-06   0.332925E-08
  1327   0.706056E+03  -0.525132E+02   0.200479E-05  -0.525132E+02   0.312278E+02  -0.338416E-06   0.200479E-05  -0.338416E-06   0.332436E-08
  1328   0.706954E+03  -0.531712E+02   0.201293E-05  -0.531712E+02   0.311178E+02  -0.337445E-06   0.201293E-05  -0.337445E-06   0.331948E-08
  1329   0.707904E+03  -0.538189E+02   0.202107E-05  -0.538189E+02   0.310046E+02  -0.336462E-06   0.202107E-05  -0.336462E-06   0.331461E-08
  1330   0.708900E+03  -0.544547E+02   0.202898E-05  -0.544547E+02   0.308871E+02  -0.335356E-06   0.202898E-05  -0.335356E-06   0.330975E-08
  1331   0.709947E+03  -0.550796E+02   0.203689E-05  -0.550796E+02   0.307665E+02  -0.334299E-06   0.203689E-05  -0.334299E-06   0.330491E-08
  1332   0.711038E+03  -0.556921E+02   0.204447E-05  -0.556921E+02   0.306417E+02  -0.333366E-06   0.204447E-05  -0.333366E-06   0.330007E-08
  1333   0.712178E+03  -0.562933E+02   0.205204E-05  -0.562933E+02   0.305138E+02  -0.332468E-06   0.205204E-05  -0.332468E-06   0.329524E-08
  1334   0.713359E+03  -0.568817E+02   0.205939E-05  -0.568817E+02   0.303819E+02  -0.331476E-06   0.205939E-05  -0.331476E-06   0.329042E-08
  1335   0.714587E+03  -0.574583E+02   0.206678E-05  -0.574583E+02   0.302471E+02  -0.330467E-06   0.206678E-05  -0.330467E-06   0.328561E-08
  1336   0.715854E+03  -0.580215E+02   0.207391E-05  -0.580215E+02   0.301083E+02  -0.329345E-06   0.207391E-05  -0.329345E-06   0.328081E-08
  1337   0.717166E+03  -0.585726E+02   0.208106E-05  -0.585726E+02   0.299667E+02  -0.328206E-06   0.208106E-05  -0.328206E-06   0.327602E-08
  1338   0.718515E+03  -0.591099E+02   0.208798E-05  -0.591099E+02   0.298213E+02  -0.326955E-06   0.208798E-05  -0.326955E-06   0.327124E-08
  1339   0.719905E+03  -0.596347E+02   0.209490E-05  -0.596347E+02   0.296732E+02  -0.325690E-06   0.209490E-05  -0.325690E-06   0.326647E-08
  1340   0.721330E+03  -0.601453E+02   0.210155E-05  -0.601453E+02   0.295213E+02  -0.324313E-06   0.210155E-05  -0.324313E-06   0.326171E-08
  1341   0.722795E+03  -0.606430E+02   0.210819E-05  -0.606430E+02   0.293669E+02  -0.322921E-06   0.210819E-05  -0.322921E-06   0.325695E-08
  1342   0.724292E+03  -0.611260E+02   0.211456E-05  -0.611260E+02   0.292090E+02  -0.321424E-06   0.211456E-05  -0.321424E-06   0.325221E-08
  1343   0.725826E+03  -0.615958E+02   0.212093E-05  -0.615958E+02   0.290485E+02  -0.320171E-06   0.212093E-05  -0.320171E-06   0.324748E-08
  1344   0.727390E+03  -0.620507E+02   0.212705E-05  -0.620507E+02   0.288847E+02  -0.318869E-06   0.212705E-05  -0.318869E-06   0.324276E-08
  1345   0.728988E+03  -0.624920E+02   0.213317E-05  -0.624920E+02   0.287185E+02  -0.317596E-06   0.213317E-05  -0.317596E-06   0.323805E-08
  1346   0.730614E+03  -0.629179E+02   0.213903E-05  -0.629179E+02   0.285491E+02  -0.316215E-06   0.213903E-05  -0.316215E-06   0.323335E-08
  1347   0.732272E+03  -0.633300E+02   0.214490E-05  -0.633300E+02   0.283774E+02  -0.314812E-06   0.214490E-05  -0.314812E-06   0.322865E-08
  1348   0.733955E+03  -0.637265E+02   0.215051E-05  -0.637265E+02   0.282026E+02  -0.313306E-06   0.215051E-05  -0.313306E-06   0.322397E-08
  1349   0.735667E+03  -0.641088E+02   0.215609E-05  -0.641088E+02   0.280257E+02  -0.311779E-06   0.215609E-05  -0.311779E-06   0.321929E-08
  1350   0.737402E+03  -0.644752E+02   0.216139E-05  -0.644752E+02   0.278459E+02  -0.310152E-06   0.216139E-05  -0.310152E-06   0.321463E-08
  1351   0.739164E+03  -0.648271E+02   0.216669E-05  -0.648271E+02   0.276640E+02  -0.308505E-06   0.216669E-05  -0.308505E-06   0.320997E-08
  1352   0.740945E+03  -0.651629E+02   0.217170E-05  -0.651629E+02   0.274794E+02  -0.306762E-06   0.217170E-05  -0.306762E-06   0.320533E-08
  1353   0.742750E+03  -0.654841E+02   0.217666E-05  -0.654841E+02   0.272929E+02  -0.304996E-06   0.217666E-05  -0.304996E-06   0.320069E-08
  1354   0.744573E+03  -0.657889E+02   0.218143E-05  -0.657889E+02   0.271039E+02  -0.303296E-06   0.218143E-05  -0.303296E-06   0.319607E-08
  1355   0.746418E+03  -0.660788E+02   0.218625E-05  -0.660788E+02   0.269131E+02  -0.301704E-06   0.218625E-05  -0.301704E-06   0.319145E-08
  1356   0.748277E+03  -0.663522E+02   0.219085E-05  -0.663522E+02   0.267198E+02  -0.300087E-06   0.219085E-05  -0.300087E-06   0.318684E-08
  1357   0.750155E+03  -0.666105E+02   0.219544E-05  -0.666105E+02   0.265250E+02  -0.298443E-06   0.219544E-05  -0.298443E-06   0.318224E-08
  1358   0.752045E+03  -0.668521E+02   0.219976E-05  -0.668521E+02   0.263278E+02  -0.296705E-06   0.219976E-05  -0.296705E-06   0.317765E-08
  1359   0.753952E+03  -0.670785E+02   0.220405E-05  -0.670785E+02   0.261293E+02  -0.294945E-06   0.220405E-05  -0.294945E-06   0.317307E-08
  1360   0.755868E+03  -0.672879E+02   0.220808E-05  -0.672879E+02   0.259286E+02  -0.293092E-06   0.220808E-05  -0.293092E-06   0.316850E-08
  1361   0.757798E+03  -0.674821E+02   0.221208E-05  -0.674821E+02   0.257266E+02  -0.291217E-06   0.221208E-05  -0.291217E-06   0.316394E-08
  1362   0.759734E+03  -0.676593E+02   0.221580E-05  -0.676593E+02   0.255227E+02  -0.289256E-06   0.221580E-05  -0.289256E-06   0.315938E-08
  1363   0.761682E+03  -0.678211E+02   0.221946E-05  -0.678211E+02   0.253176E+02  -0.287273E-06   0.221946E-05  -0.287273E-06   0.315484E-08
  1364   0.763634E+03  -0.679659E+02   0.222286E-05  -0.679659E+02   0.251108E+02  -0.285207E-06   0.222286E-05  -0.285207E-06   0.315031E-08
  1365   0.765595E+03  -0.680951E+02   0.222626E-05  -0.680951E+02   0.249029E+02  -0.283188E-06   0.222626E-05  -0.283188E-06   0.314578E-08
  1366   0.767557E+03  -0.682072E+02   0.222958E-05  -0.682072E+02   0.246935E+02  -0.281298E-06   0.222958E-05  -0.281298E-06   0.314126E-08
  1367   0.769525E+03  -0.683038E+02   0.223289E-05  -0.683038E+02   0.244832E+02  -0.279427E-06   0.223289E-05  -0.279427E-06   0.313676E-08
  1368   0.771492E+03  -0.683832E+02   0.223594E-05  -0.683832E+02   0.242715E+02  -0.277495E-06   0.223594E-05  -0.277495E-06   0.313226E-08
  1369   0.773463E+03  -0.684471E+02   0.223895E-05  -0.684471E+02   0.240590E+02  -0.275538E-06   0.223895E-05  -0.275538E-06   0.312777E-08
  1370   0.775434E+03  -0.684950E+02   0.224184E-05  -0.684950E+02   0.238458E+02  -0.273534E-06   0.224184E-05  -0.273534E-06   0.312329E-08
  1371   0.777396E+03  -0.685250E+02   0.224435E-05  -0.685250E+02   0.236312E+02  -0.271430E-06   0.224435E-05  -0.271430E-06   0.311881E-08
  1372   0.779362E+03  -0.685402E+02   0.224691E-05  -0.685402E+02   0.234163E+02  -0.269324E-06   0.224691E-05  -0.269324E-06   0.311435E-08
  1373   0.781317E+03  -0.685375E+02   0.224905E-05  -0.685375E+02   0.232002E+02  -0.267121E-06   0.224905E-05  -0.267121E-06   0.310990E-08
  1374   0.783272E+03  -0.685201E+02   0.225124E-05  -0.685201E+02   0.229841E+02  -0.264914E-06   0.225124E-05  -0.264914E-06   0.310545E-08
  1375   0.785213E+03  -0.684847E+02   0.225302E-05  -0.684847E+02   0.227669E+02  -0.262614E-06   0.225302E-05  -0.262614E-06   0.310102E-08
  1376   0.787152E+03  -0.684349E+02   0.225483E-05  -0.684349E+02   0.225498E+02  -0.260311E-06   0.225483E-05  -0.260311E-06   0.309659E-08
  1377   0.789075E+03  -0.683671E+02   0.225659E-05  -0.683671E+02   0.223317E+02  -0.258160E-06   0.225659E-05  -0.258160E-06   0.309217E-08
  1378   0.790994E+03  -0.682848E+02   0.225847E-05  -0.682848E+02   0.221139E+02  -0.256046E-06   0.225847E-05  -0.256046E-06   0.308776E-08
  1379   0.792893E+03  -0.681850E+02   0.226005E-05  -0.681850E+02   0.218955E+02  -0.253885E-06   0.226005E-05  -0.253885E-06   0.308336E-08
  1380   0.794786E+03  -0.680705E+02   0.226165E-05  -0.680705E+02   0.216774E+02  -0.251714E-06   0.226165E-05  -0.251714E-06   0.307896E-08
  1381   0.796657E+03  -0.679388E+02   0.226286E-05  -0.679388E+02   0.214588E+02  -0.249450E-06   0.226286E-05  -0.249450E-06   0.307458E-08
  1382   0.798519E+03  -0.677925E+02   0.226409E-05  -0.677925E+02   0.212407E+02  -0.247179E-06   0.226409E-05  -0.247179E-06   0.307020E-08
  1383   0.800358E+03  -0.676291E+02   0.226497E-05  -0.676291E+02   0.210223E+02  -0.244823E-06   0.226497E-05  -0.244823E-06   0.306584E-08
  1384   0.802184E+03  -0.674514E+02   0.226585E-05  -0.674514E+02   0.208045E+02  -0.242457E-06   0.226585E-05  -0.242457E-06   0.306148E-08
  1385   0.803985E+03  -0.672567E+02   0.226639E-05  -0.672567E+02   0.205866E+02  -0.240011E-06   0.226639E-05  -0.240011E-06   0.305713E-08
  1386   0.805772E+03  -0.670479E+02   0.226693E-05  -0.670479E+02   0.203694E+02  -0.237559E-06   0.226693E-05  -0.237559E-06   0.305279E-08
  1387   0.807530E+03  -0.668223E+02   0.226710E-05  -0.668223E+02   0.201524E+02  -0.235033E-06   0.226710E-05  -0.235033E-06   0.304846E-08
  1388   0.809272E+03  -0.665828E+02   0.226756E-05  -0.665828E+02   0.199362E+02  -0.232646E-06   0.226756E-05  -0.232646E-06   0.304413E-08
  1389   0.810984E+03  -0.663269E+02   0.226787E-05  -0.663269E+02   0.197203E+02  -0.230284E-06   0.226787E-05  -0.230284E-06   0.303982E-08
  1390   0.812677E+03  -0.660573E+02   0.226831E-05  -0.660573E+02   0.195054E+02  -0.227974E-06   0.226831E-05  -0.227974E-06   0.303551E-08
  1391   0.814337E+03  -0.657715E+02   0.226836E-05  -0.657715E+02   0.192910E+02  -0.225586E-06   0.226836E-05  -0.225586E-06   0.303121E-08
  1392   0.815976E+03  -0.654722E+02   0.226842E-05  -0.654722E+02   0.190777E+02  -0.223186E-06   0.226842E-05  -0.223186E-06   0.302692E-08
  1393   0.817581E+03  -0.651570E+02   0.226811E-05  -0.651570E+02   0.188650E+02  -0.220714E-06   0.226811E-05  -0.220714E-06   0.302264E-08
  1394   0.819163E+03  -0.648286E+02   0.226780E-05  -0.648286E+02   0.186536E+02  -0.218231E-06   0.226780E-05  -0.218231E-06   0.301836E-08
  1395   0.820708E+03  -0.644848E+02   0.226711E-05  -0.644848E+02   0.184430E+02  -0.215677E-06   0.226711E-05  -0.215677E-06   0.301410E-08
  1396   0.822228E+03  -0.641279E+02   0.226640E-05  -0.641279E+02   0.182339E+02  -0.213115E-06   0.226640E-05  -0.213115E-06   0.300984E-08
  1397   0.823709E+03  -0.637559E+02   0.226531E-05  -0.637559E+02   0.180257E+02  -0.210488E-06   0.226531E-05  -0.210488E-06   0.300559E-08
  1398   0.825163E+03  -0.633712E+02   0.226421E-05  -0.633712E+02   0.178190E+02  -0.207855E-06   0.226421E-05  -0.207855E-06   0.300135E-08
  1399   0.826576E+03  -0.629718E+02   0.226290E-05  -0.629718E+02   0.176135E+02  -0.205219E-06   0.226290E-05  -0.205219E-06   0.299712E-08
  1400   0.827960E+03  -0.625599E+02   0.226201E-05  -0.625599E+02   0.174096E+02  -0.202741E-06   0.226201E-05  -0.202741E-06   0.299289E-08
  1401   0.829302E+03  -0.621338E+02   0.226086E-05  -0.621338E+02   0.172070E+02  -0.200240E-06   0.226086E-05  -0.200240E-06   0.298868E-08
  1402   0.830612E+03  -0.616955E+02   0.225971E-05  -0.616955E+02   0.170063E+02  -0.197744E-06   0.225971E-05  -0.197744E-06   0.298447E-08
  1403   0.831878E+03  -0.612434E+02   0.225822E-05  -0.612434E+02   0.168069E+02  -0.195183E-06   0.225822E-05  -0.195183E-06   0.298027E-08
  1404   0.833112E+03  -0.607795E+02   0.225670E-05  -0.607795E+02   0.166095E+02  -0.192610E-06   0.225670E-05  -0.192610E-06   0.297608E-08
  1405   0.834299E+03  -0.603021E+02   0.225480E-05  -0.603021E+02   0.164137E+02  -0.189978E-06   0.225480E-05  -0.189978E-06   0.297189E-08
  1406   0.835452E+03  -0.598134E+02   0.225285E-05  -0.598134E+02   0.162199E+02  -0.187330E-06   0.225285E-05  -0.187330E-06   0.296772E-08
  1407   0.836556E+03  -0.593116E+02   0.225059E-05  -0.593116E+02   0.160279E+02  -0.184629E-06   0.225059E-05  -0.184629E-06   0.296355E-08
  1408   0.837625E+03  -0.587989E+02   0.224829E-05  -0.587989E+02   0.158380E+02  -0.181916E-06   0.224829E-05  -0.181916E-06   0.295939E-08
  1409   0.838645E+03  -0.582736E+02   0.224564E-05  -0.582736E+02   0.156500E+02  -0.179151E-06   0.224564E-05  -0.179151E-06   0.295524E-08
  1410   0.839626E+03  -0.577378E+02   0.224295E-05  -0.577378E+02   0.154643E+02  -0.176377E-06   0.224295E-05  -0.176377E-06   0.295110E-08
  1411   0.840557E+03  -0.571898E+02   0.224058E-05  -0.571898E+02   0.152806E+02  -0.173749E-06   0.224058E-05  -0.173749E-06   0.294696E-08
  1412   0.841449E+03  -0.566318E+02   0.223826E-05  -0.566318E+02   0.150993E+02  -0.171141E-06   0.223826E-05  -0.171141E-06   0.294284E-08
  1413   0.842288E+03  -0.560622E+02   0.223572E-05  -0.560622E+02   0.149201E+02  -0.168515E-06   0.223572E-05  -0.168515E-06   0.293872E-08
  1414   0.843087E+03  -0.554828E+02   0.223312E-05  -0.554828E+02   0.147434E+02  -0.165873E-06   0.223312E-05  -0.165873E-06   0.293460E-08
  1415   0.843833E+03  -0.548925E+02   0.223020E-05  -0.548925E+02   0.145690E+02  -0.163185E-06   0.223020E-05  -0.163185E-06   0.293050E-08
  1416   0.844537E+03  -0.542928E+02   0.222720E-05  -0.542928E+02   0.143972E+02  -0.160485E-06   0.222720E-05  -0.160485E-06   0.292640E-08
  1417   0.845186E+03  -0.536827E+02   0.222386E-05  -0.536827E+02   0.142278E+02  -0.157740E-06   0.222386E-05  -0.157740E-06   0.292232E-08
  1418   0.845792E+03  -0.530637E+02   0.222047E-05  -0.530637E+02   0.140611E+02  -0.154983E-06   0.222047E-05  -0.154983E-06   0.291824E-08
  1419   0.846343E+03  -0.524348E+02   0.221675E-05  -0.524348E+02   0.138969E+02  -0.152185E-06   0.221675E-05  -0.152185E-06   0.291416E-08
  1420   0.846849E+03  -0.517976E+02   0.221295E-05  -0.517976E+02   0.137355E+02  -0.149378E-06   0.221295E-05  -0.149378E-06   0.291010E-08
  1421   0.847298E+03  -0.511509E+02   0.220882E-05  -0.511509E+02   0.135767E+02  -0.146534E-06   0.220882E-05  -0.146534E-06   0.290604E-08
  1422   0.847702E+03  -0.504964E+02   0.220510E-05  -0.504964E+02   0.134208E+02  -0.143796E-06   0.220510E-05  -0.143796E-06   0.290199E-08
  1423   0.848048E+03  -0.498331E+02   0.220136E-05  -0.498331E+02   0.132676E+02  -0.141092E-06   0.220136E-05  -0.141092E-06   0.289795E-08
  1424   0.848348E+03  -0.491624E+02   0.219773E-05  -0.491624E+02   0.131174E+02  -0.138421E-06   0.219773E-05  -0.138421E-06   0.289392E-08
  1425   0.848598E+03  -0.484844E+02   0.219395E-05  -0.484844E+02   0.129702E+02  -0.135728E-06   0.219395E-05  -0.135728E-06   0.288989E-08
  1426   0.848783E+03  -0.477976E+02   0.218972E-05  -0.477976E+02   0.128257E+02  -0.132990E-06   0.218972E-05  -0.132990E-06   0.288587E-08
  1427   0.848926E+03  -0.471050E+02   0.218553E-05  -0.471050E+02   0.126844E+02  -0.130252E-06   0.218553E-05  -0.130252E-06   0.288186E-08
  1428   0.849004E+03  -0.464042E+02   0.218088E-05  -0.464042E+02   0.125460E+02  -0.127469E-06   0.218088E-05  -0.127469E-06   0.287786E-08
  1429   0.849039E+03  -0.456981E+02   0.217629E-05  -0.456981E+02   0.124109E+02  -0.124683E-06   0.217629E-05  -0.124683E-06   0.287386E-08
  1430   0.849008E+03  -0.449844E+02   0.217125E-05  -0.449844E+02   0.122787E+02  -0.121856E-06   0.217125E-05  -0.121856E-06   0.286987E-08
  1431   0.848933E+03  -0.442660E+02   0.216626E-05  -0.442660E+02   0.121498E+02  -0.119030E-06   0.216626E-05  -0.119030E-06   0.286589E-08
  1432   0.848792E+03  -0.435405E+02   0.216083E-05  -0.435405E+02   0.120240E+02  -0.116166E-06   0.216083E-05  -0.116166E-06   0.286192E-08
  1433   0.848607E+03  -0.428108E+02   0.215570E-05  -0.428108E+02   0.119015E+02  -0.113349E-06   0.215570E-05  -0.113349E-06   0.285796E-08
  1434   0.848355E+03  -0.420747E+02   0.215075E-05  -0.420747E+02   0.117822E+02  -0.110611E-06   0.215075E-05  -0.110611E-06   0.285400E-08
  1435   0.848058E+03  -0.413349E+02   0.214598E-05  -0.413349E+02   0.116663E+02  -0.107894E-06   0.214598E-05  -0.107894E-06   0.285005E-08
  1436   0.847695E+03  -0.405893E+02   0.214084E-05  -0.405893E+02   0.115536E+02  -0.105156E-06   0.214084E-05  -0.105156E-06   0.284610E-08
  1437   0.847286E+03  -0.398406E+02   0.213575E-05  -0.398406E+02   0.114443E+02  -0.102414E-06   0.213575E-05  -0.102414E-06   0.284217E-08
  1438   0.846809E+03  -0.390866E+02   0.213025E-05  -0.390866E+02   0.113384E+02  -0.996414E-07   0.213025E-05  -0.996414E-07   0.283824E-08
  1439   0.846288E+03  -0.383301E+02   0.212478E-05  -0.383301E+02   0.112359E+02  -0.968662E-07   0.212478E-05  -0.968662E-07   0.283432E-08
  1440   0.845699E+03  -0.375690E+02   0.211888E-05  -0.375690E+02   0.111368E+02  -0.940603E-07   0.211888E-05  -0.940603E-07   0.283041E-08
  1441   0.845064E+03  -0.368056E+02   0.211300E-05  -0.368056E+02   0.110412E+02  -0.912533E-07   0.211300E-05  -0.912533E-07   0.282650E-08
  1442   0.844363E+03  -0.360386E+02   0.210675E-05  -0.360386E+02   0.109490E+02  -0.884237E-07   0.210675E-05  -0.884237E-07   0.282260E-08
  1443   0.843614E+03  -0.352698E+02   0.210048E-05  -0.352698E+02   0.108603E+02  -0.855943E-07   0.210048E-05  -0.855943E-07   0.281871E-08
  1444   0.842800E+03  -0.344979E+02   0.209384E-05  -0.344979E+02   0.107752E+02  -0.827420E-07   0.209384E-05  -0.827420E-07   0.281483E-08
  1445   0.841939E+03  -0.337247E+02   0.208807E-05  -0.337247E+02   0.106936E+02  -0.800192E-07   0.208807E-05  -0.800192E-07   0.281095E-08
  1446   0.841012E+03  -0.329492E+02   0.208201E-05  -0.329492E+02   0.106154E+02  -0.772900E-07   0.208201E-05  -0.772900E-07   0.280708E-08
  1447   0.840037E+03  -0.321729E+02   0.207610E-05  -0.321729E+02   0.105409E+02  -0.745812E-07   0.207610E-05  -0.745812E-07   0.280322E-08
  1448   0.838998E+03  -0.313948E+02   0.206980E-05  -0.313948E+02   0.104699E+02  -0.718522E-07   0.206980E-05  -0.718522E-07   0.279936E-08
  1449   0.837911E+03  -0.306165E+02   0.206350E-05  -0.306165E+02   0.104026E+02  -0.691223E-07   0.206350E-05  -0.691223E-07   0.279551E-08
  1450   0.836759E+03  -0.298371E+02   0.205683E-05  -0.298371E+02   0.103387E+02  -0.663752E-07   0.205683E-05  -0.663752E-07   0.279167E-08
  1451   0.835560E+03  -0.290579E+02   0.205015E-05  -0.290579E+02   0.102785E+02  -0.636272E-07   0.205015E-05  -0.636272E-07   0.278784E-08
  1452   0.834296E+03  -0.282783E+02   0.204307E-05  -0.282783E+02   0.102219E+02  -0.608616E-07   0.204307E-05  -0.608616E-07   0.278401E-08
  1453   0.832986E+03  -0.274994E+02   0.203598E-05  -0.274994E+02   0.101689E+02  -0.580973E-07   0.203598E-05  -0.580973E-07   0.278019E-08
  1454   0.831611E+03  -0.267207E+02   0.202855E-05  -0.267207E+02   0.101195E+02  -0.553207E-07   0.202855E-05  -0.553207E-07   0.277638E-08
  1455   0.830190E+03  -0.259433E+02   0.202110E-05  -0.259433E+02   0.100737E+02  -0.525453E-07   0.202110E-05  -0.525453E-07   0.277257E-08
  1456   0.828706E+03  -0.251667E+02   0.201389E-05  -0.251667E+02   0.100316E+02  -0.498265E-07   0.201389E-05  -0.498265E-07   0.276878E-08
  1457   0.827175E+03  -0.243918E+02   0.200699E-05  -0.243918E+02   0.999301E+01  -0.471437E-07   0.200699E-05  -0.471437E-07   0.276499E-08
  1458   0.825582E+03  -0.236183E+02   0.199998E-05  -0.236183E+02   0.995804E+01  -0.444761E-07   0.199998E-05  -0.444761E-07   0.276120E-08
  1459   0.823943E+03  -0.228472E+02   0.199295E-05  -0.228472E+02   0.992669E+01  -0.418071E-07   0.199295E-05  -0.418071E-07   0.275742E-08
  1460   0.822243E+03  -0.220780E+02   0.198558E-05  -0.220780E+02   0.989892E+01  -0.391258E-07   0.198558E-05  -0.391258E-07   0.275365E-08
  1461   0.820497E+03  -0.213116E+02   0.197820E-05  -0.213116E+02   0.987477E+01  -0.364433E-07   0.197820E-05  -0.364433E-07   0.274989E-08
  1462   0.818691E+03  -0.205478E+02   0.197050E-05  -0.205478E+02   0.985417E+01  -0.337548E-07   0.197050E-05  -0.337548E-07   0.274614E-08
  1463   0.816839E+03  -0.197873E+02   0.196276E-05  -0.197873E+02   0.983716E+01  -0.310665E-07   0.196276E-05  -0.310665E-07   0.274239E-08
  1464   0.814929E+03  -0.190300E+02   0.195470E-05  -0.190300E+02   0.982369E+01  -0.283747E-07   0.195470E-05  -0.283747E-07   0.273864E-08
  1465   0.812974E+03  -0.182764E+02   0.194661E-05  -0.182764E+02   0.981379E+01  -0.256832E-07   0.194661E-05  -0.256832E-07   0.273491E-08
  1466   0.810961E+03  -0.175266E+02   0.193822E-05  -0.175266E+02   0.980740E+01  -0.229928E-07   0.193822E-05  -0.229928E-07   0.273118E-08
  1467   0.808905E+03  -0.167810E+02   0.193010E-05  -0.167810E+02   0.980454E+01  -0.203306E-07   0.193010E-05  -0.203306E-07   0.272746E-08
