#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.127979E+04   0.151216E+01   0.906531E-03   0.151216E+01   0.718788E-01  -0.235033E-06   0.906531E-03  -0.235033E-06   0.138369E-06
    44   0.129869E+04   0.140856E+01   0.887192E-03   0.140856E+01   0.775651E-01  -0.230936E-06   0.887192E-03  -0.230936E-06   0.138000E-06
    45   0.131791E+04   0.129199E+01   0.868391E-03   0.129199E+01   0.835428E-01  -0.233693E-06   0.868391E-03  -0.233693E-06   0.137599E-06
    46   0.133735E+04   0.116366E+01   0.850004E-03   0.116366E+01   0.898174E-01  -0.234095E-06   0.850004E-03  -0.234095E-06   0.137177E-06
    47   0.135697E+04   0.102521E+01   0.832032E-03   0.102521E+01   0.963917E-01  -0.246441E-06   0.832032E-03  -0.246441E-06   0.136731E-06
    48   0.137668E+04   0.878384E+00   0.814532E-03   0.878384E+00   0.103257E+00  -0.294147E-06   0.814532E-03  -0.294147E-06   0.136264E-06
    49   0.139648E+04   0.723634E+00   0.797563E-03   0.723634E+00   0.110388E+00  -0.383718E-06   0.797563E-03  -0.383718E-06   0.135777E-06
    50   0.141667E+04   0.556124E+00   0.781322E-03   0.556124E+00   0.117757E+00  -0.492438E-06   0.781322E-03  -0.492438E-06   0.135269E-06
    51   0.143718E+04   0.372706E+00   0.765645E-03   0.372706E+00   0.125367E+00  -0.581356E-06   0.765645E-03  -0.581356E-06   0.134743E-06
    52   0.145784E+04   0.172252E+00   0.750352E-03   0.172252E+00   0.133247E+00  -0.621482E-06   0.750352E-03  -0.621482E-06   0.134201E-06
    53   0.147853E+04  -0.452696E-01   0.735463E-03  -0.452696E-01   0.141445E+00  -0.612371E-06   0.735463E-03  -0.612371E-06   0.133640E-06
    54   0.149927E+04  -0.276802E+00   0.721137E-03  -0.276802E+00   0.149992E+00  -0.578859E-06   0.721137E-03  -0.578859E-06   0.133068E-06
    55   0.152015E+04  -0.519878E+00   0.707515E-03  -0.519878E+00   0.158883E+00  -0.550108E-06   0.707515E-03  -0.550108E-06   0.132484E-06
    56   0.154134E+04  -0.774685E+00   0.694665E-03  -0.774685E+00   0.168086E+00  -0.539762E-06   0.694665E-03  -0.539762E-06   0.131888E-06
    57   0.156288E+04  -0.104211E+01   0.682408E-03  -0.104211E+01   0.177571E+00  -0.540936E-06   0.682408E-03  -0.540936E-06   0.131282E-06
    58   0.158468E+04  -0.132229E+01   0.670412E-03  -0.132229E+01   0.187326E+00  -0.537831E-06   0.670412E-03  -0.537831E-06   0.130664E-06
