#    L    TT             EE             BB             TE          
    91   0.242798E+04   0.634878E+00   0.250060E-02  -0.172502E+02
    92   0.245723E+04   0.650360E+00   0.255625E-02  -0.178836E+02
    93   0.248677E+04   0.665809E+00   0.261253E-02  -0.185221E+02
    94   0.251676E+04   0.681220E+00   0.266946E-02  -0.191671E+02
    95   0.254736E+04   0.696592E+00   0.272703E-02  -0.198196E+02
    96   0.257798E+04   0.711898E+00   0.278526E-02  -0.204740E+02
    97   0.260843E+04   0.727116E+00   0.284413E-02  -0.211277E+02
    98   0.263880E+04   0.742225E+00   0.290366E-02  -0.217802E+02
    99   0.266953E+04   0.757214E+00   0.296385E-02  -0.224353E+02
   100   0.270084E+04   0.772077E+00   0.302470E-02  -0.230952E+02
   101   0.273254E+04   0.786809E+00   0.308623E-02  -0.237582E+02
   102   0.276439E+04   0.801394E+00   0.314843E-02  -0.244218E+02
   103   0.279628E+04   0.815815E+00   0.321132E-02  -0.250841E+02
   104   0.282818E+04   0.830047E+00   0.327490E-02  -0.257439E+02
   105   0.286016E+04   0.844073E+00   0.333917E-02  -0.264010E+02
   106   0.289243E+04   0.857882E+00   0.340414E-02  -0.270568E+02
   107   0.292519E+04   0.871474E+00   0.346982E-02  -0.277132E+02
   108   0.295827E+04   0.884835E+00   0.353621E-02  -0.283689E+02
   109   0.299136E+04   0.897949E+00   0.360333E-02  -0.290200E+02
   110   0.302423E+04   0.910791E+00   0.367116E-02  -0.296638E+02
   111   0.305701E+04   0.923341E+00   0.373973E-02  -0.303003E+02
   112   0.309013E+04   0.935592E+00   0.380904E-02  -0.309330E+02
   113   0.312374E+04   0.947544E+00   0.387909E-02  -0.315635E+02
   114   0.315764E+04   0.959190E+00   0.394989E-02  -0.321898E+02
   115   0.319161E+04   0.970514E+00   0.402145E-02  -0.328091E+02
   116   0.322556E+04   0.981498E+00   0.409376E-02  -0.334198E+02
   117   0.325945E+04   0.992123E+00   0.416684E-02  -0.340209E+02
   118   0.329334E+04   0.100238E+01   0.424069E-02  -0.346127E+02
   119   0.332733E+04   0.101226E+01   0.431531E-02  -0.351955E+02
   120   0.336201E+04   0.102176E+01   0.439071E-02  -0.357745E+02
   121   0.339675E+04   0.103088E+01   0.446689E-02  -0.363437E+02
   122   0.343137E+04   0.103959E+01   0.454387E-02  -0.369005E+02
   123   0.346570E+04   0.104789E+01   0.462164E-02  -0.374431E+02
   124   0.349989E+04   0.105574E+01   0.470021E-02  -0.379716E+02
   125   0.353431E+04   0.106316E+01   0.477958E-02  -0.384891E+02
   126   0.356911E+04   0.107015E+01   0.485977E-02  -0.389970E+02
   127   0.360409E+04   0.107670E+01   0.494077E-02  -0.394934E+02
   128   0.363907E+04   0.108281E+01   0.502260E-02  -0.399763E+02
   129   0.367392E+04   0.108846E+01   0.510526E-02  -0.404437E+02
   130   0.370858E+04   0.109364E+01   0.518875E-02  -0.408946E+02
   131   0.374315E+04   0.109834E+01   0.527309E-02  -0.413290E+02
   132   0.377780E+04   0.110256E+01   0.535827E-02  -0.417481E+02
   133   0.381281E+04   0.110633E+01   0.544432E-02  -0.421544E+02
   134   0.384784E+04   0.110961E+01   0.553123E-02  -0.425446E+02
   135   0.388262E+04   0.111241E+01   0.561901E-02  -0.429162E+02
   136   0.391700E+04   0.111472E+01   0.570767E-02  -0.432671E+02
   137   0.395113E+04   0.111653E+01   0.579722E-02  -0.435977E+02
   138   0.398534E+04   0.111784E+01   0.588766E-02  -0.439105E+02
   139   0.401977E+04   0.111867E+01   0.597901E-02  -0.442068E+02
   140   0.405426E+04   0.111902E+01   0.607126E-02  -0.444850E+02
   141   0.408862E+04   0.111889E+01   0.616443E-02  -0.447429E+02
   142   0.412275E+04   0.111828E+01   0.625852E-02  -0.449794E+02
   143   0.415651E+04   0.111719E+01   0.635354E-02  -0.451932E+02
   144   0.419016E+04   0.111558E+01   0.644949E-02  -0.453841E+02
   145   0.422356E+04   0.111352E+01   0.654638E-02  -0.455536E+02
   146   0.425732E+04   0.111098E+01   0.664421E-02  -0.457045E+02
   147   0.429072E+04   0.110798E+01   0.674299E-02  -0.458318E+02
   148   0.432445E+04   0.110457E+01   0.684271E-02  -0.459420E+02
   149   0.435716E+04   0.110061E+01   0.694340E-02  -0.460197E+02
   150   0.438959E+04   0.109629E+01   0.704503E-02  -0.460751E+02
   151   0.442225E+04   0.109147E+01   0.714763E-02  -0.461082E+02
   152   0.445428E+04   0.108626E+01   0.725120E-02  -0.461148E+02
   153   0.448639E+04   0.108062E+01   0.735572E-02  -0.460992E+02
   154   0.451846E+04   0.107462E+01   0.746121E-02  -0.460612E+02
   155   0.454963E+04   0.106820E+01   0.756767E-02  -0.459921E+02
   156   0.458095E+04   0.106144E+01   0.767510E-02  -0.459019E+02
   157   0.461162E+04   0.105426E+01   0.778351E-02  -0.457813E+02
   158   0.464209E+04   0.104677E+01   0.789288E-02  -0.456364E+02
   159   0.467265E+04   0.103890E+01   0.800323E-02  -0.454672E+02
   160   0.470284E+04   0.103071E+01   0.811455E-02  -0.452715E+02
   161   0.473342E+04   0.102225E+01   0.822685E-02  -0.450560E+02
   162   0.476294E+04   0.101340E+01   0.834013E-02  -0.448061E+02
   163   0.479239E+04   0.100432E+01   0.845439E-02  -0.445334E+02
   164   0.482182E+04   0.994926E+00   0.856964E-02  -0.442343E+02
   165   0.485068E+04   0.985301E+00   0.868586E-02  -0.439071E+02
   166   0.487965E+04   0.975431E+00   0.880307E-02  -0.435559E+02
