#    L    TT             EE             TE             PP             TP          
  1250   0.831939E+03   0.271241E+02   0.570189E+01   0.173954E+06   0.186991E+02
  1251   0.827813E+03   0.273174E+02   0.519024E+01   0.173686E+06   0.189498E+02
  1252   0.823735E+03   0.275080E+02   0.466321E+01   0.173419E+06   0.191934E+02
  1253   0.819714E+03   0.276964E+02   0.412250E+01   0.173152E+06   0.194271E+02
  1254   0.815743E+03   0.278821E+02   0.356700E+01   0.172886E+06   0.196587E+02
  1255   0.811832E+03   0.280654E+02   0.299833E+01   0.172620E+06   0.198915E+02
  1256   0.807973E+03   0.282457E+02   0.241547E+01   0.172355E+06   0.201268E+02
  1257   0.804175E+03   0.284235E+02   0.181996E+01   0.172090E+06   0.203633E+02
  1258   0.800431E+03   0.285982E+02   0.121079E+01   0.171826E+06   0.206022E+02
  1259   0.796750E+03   0.287703E+02   0.589736E+00   0.171563E+06   0.208424E+02
  1260   0.793126E+03   0.289391E+02  -0.444462E-01   0.171300E+06   0.210840E+02
  1261   0.789565E+03   0.291052E+02  -0.689929E+00   0.171038E+06   0.213273E+02
  1262   0.786063E+03   0.292678E+02  -0.134788E+01   0.170776E+06   0.215715E+02
  1263   0.782627E+03   0.294276E+02  -0.201654E+01   0.170515E+06   0.218141E+02
  1264   0.779255E+03   0.295843E+02  -0.269618E+01   0.170255E+06   0.220424E+02
  1265   0.775942E+03   0.297370E+02  -0.338753E+01   0.169995E+06   0.222691E+02
  1266   0.772698E+03   0.298870E+02  -0.408840E+01   0.169736E+06   0.224956E+02
  1267   0.769515E+03   0.300330E+02  -0.480026E+01   0.169477E+06   0.227233E+02
  1268   0.766403E+03   0.301760E+02  -0.552103E+01   0.169219E+06   0.229516E+02
  1269   0.763353E+03   0.303149E+02  -0.625206E+01   0.168961E+06   0.231815E+02
  1270   0.760375E+03   0.304507E+02  -0.699137E+01   0.168704E+06   0.234124E+02
  1271   0.757460E+03   0.305823E+02  -0.774021E+01   0.168447E+06   0.236440E+02
  1272   0.754618E+03   0.307108E+02  -0.849669E+01   0.168191E+06   0.238768E+02
  1273   0.751841E+03   0.308349E+02  -0.926195E+01   0.167936E+06   0.241106E+02
  1274   0.749137E+03   0.309557E+02  -0.100342E+02   0.167681E+06   0.243444E+02
  1275   0.746499E+03   0.310721E+02  -0.108145E+02   0.167427E+06   0.245662E+02
  1276   0.743935E+03   0.311852E+02  -0.116011E+02   0.167173E+06   0.247846E+02
  1277   0.741438E+03   0.312937E+02  -0.123950E+02   0.166920E+06   0.250011E+02
  1278   0.739015E+03   0.313988E+02  -0.131946E+02   0.166667E+06   0.252190E+02
  1279   0.736661E+03   0.314992E+02  -0.140006E+02   0.166415E+06   0.254373E+02
  1280   0.734381E+03   0.315961E+02  -0.148117E+02   0.166164E+06   0.256560E+02
  1281   0.732169E+03   0.316884E+02  -0.156284E+02   0.165913E+06   0.258754E+02
  1282   0.730033E+03   0.317770E+02  -0.164495E+02   0.165662E+06   0.260951E+02
  1283   0.727966E+03   0.318609E+02  -0.172755E+02   0.165412E+06   0.263145E+02
  1284   0.725975E+03   0.319411E+02  -0.181051E+02   0.165163E+06   0.265349E+02
  1285   0.724053E+03   0.320165E+02  -0.189389E+02   0.164914E+06   0.267553E+02
  1286   0.722206E+03   0.320881E+02  -0.197756E+02   0.164666E+06   0.269694E+02
  1287   0.720429E+03   0.321549E+02  -0.206157E+02   0.164418E+06   0.271766E+02
  1288   0.718728E+03   0.322179E+02  -0.214581E+02   0.164171E+06   0.273814E+02
  1289   0.717096E+03   0.322760E+02  -0.223029E+02   0.163924E+06   0.275857E+02
  1290   0.715540E+03   0.323302E+02  -0.231494E+02   0.163678E+06   0.277903E+02
  1291   0.714054E+03   0.323796E+02  -0.239976E+02   0.163432E+06   0.279943E+02
  1292   0.712643E+03   0.324250E+02  -0.248467E+02   0.163187E+06   0.281985E+02
  1293   0.711302E+03   0.324655E+02  -0.256968E+02   0.162943E+06   0.284021E+02
  1294   0.710035E+03   0.325021E+02  -0.265470E+02   0.162699E+06   0.286059E+02
  1295   0.708838E+03   0.325337E+02  -0.273975E+02   0.162455E+06   0.288082E+02
  1296   0.707715E+03   0.325613E+02  -0.282474E+02   0.162212E+06   0.290111E+02
  1297   0.706662E+03   0.325840E+02  -0.290967E+02   0.161969E+06   0.292110E+02
  1298   0.705682E+03   0.326027E+02  -0.299448E+02   0.161727E+06   0.294023E+02
  1299   0.704771E+03   0.326164E+02  -0.307916E+02   0.161486E+06   0.295911E+02
  1300   0.703933E+03   0.326261E+02  -0.316365E+02   0.161245E+06   0.297795E+02
  1301   0.703163E+03   0.326309E+02  -0.324792E+02   0.161004E+06   0.299667E+02
  1302   0.702465E+03   0.326316E+02  -0.333194E+02   0.160765E+06   0.301542E+02
  1303   0.701835E+03   0.326274E+02  -0.341567E+02   0.160525E+06   0.303404E+02
  1304   0.701275E+03   0.326191E+02  -0.349909E+02   0.160286E+06   0.305265E+02
  1305   0.700783E+03   0.326060E+02  -0.358213E+02   0.160048E+06   0.307112E+02
  1306   0.700360E+03   0.325888E+02  -0.366479E+02   0.159810E+06   0.308959E+02
  1307   0.700004E+03   0.325667E+02  -0.374702E+02   0.159572E+06   0.310787E+02
  1308   0.699716E+03   0.325406E+02  -0.382879E+02   0.159335E+06   0.312615E+02
  1309   0.699493E+03   0.325097E+02  -0.391006E+02   0.159099E+06   0.314364E+02
  1310   0.699337E+03   0.324747E+02  -0.399080E+02   0.158863E+06   0.316097E+02
  1311   0.699245E+03   0.324350E+02  -0.407097E+02   0.158628E+06   0.317800E+02
  1312   0.699219E+03   0.323913E+02  -0.415056E+02   0.158393E+06   0.319505E+02
  1313   0.699256E+03   0.323429E+02  -0.422951E+02   0.158158E+06   0.321191E+02
  1314   0.699357E+03   0.322905E+02  -0.430781E+02   0.157924E+06   0.322873E+02
  1315   0.699520E+03   0.322334E+02  -0.438540E+02   0.157691E+06   0.324532E+02
  1316   0.699745E+03   0.321725E+02  -0.446228E+02   0.157458E+06   0.326187E+02
  1317   0.700033E+03   0.321075E+02  -0.453842E+02   0.157225E+06   0.327835E+02
  1318   0.700377E+03   0.320375E+02  -0.461372E+02   0.156993E+06   0.329447E+02
  1319   0.700784E+03   0.319641E+02  -0.468826E+02   0.156762E+06   0.331063E+02
  1320   0.701246E+03   0.318859E+02  -0.476189E+02   0.156531E+06   0.332615E+02
  1321   0.701769E+03   0.318042E+02  -0.483470E+02   0.156300E+06   0.334150E+02
  1322   0.702346E+03   0.317178E+02  -0.490654E+02   0.156070E+06   0.335641E+02
  1323   0.702981E+03   0.316280E+02  -0.497751E+02   0.155840E+06   0.337136E+02
  1324   0.703669E+03   0.315335E+02  -0.504745E+02   0.155611E+06   0.338598E+02
  1325   0.704413E+03   0.314357E+02  -0.511645E+02   0.155383E+06   0.340068E+02
  1326   0.705207E+03   0.313334E+02  -0.518438E+02   0.155154E+06   0.341497E+02
  1327   0.706056E+03   0.312278E+02  -0.525132E+02   0.154927E+06   0.342929E+02
  1328   0.706954E+03   0.311178E+02  -0.531712E+02   0.154700E+06   0.344321E+02
  1329   0.707904E+03   0.310046E+02  -0.538189E+02   0.154473E+06   0.345715E+02
  1330   0.708900E+03   0.308871E+02  -0.544547E+02   0.154246E+06   0.347068E+02
  1331   0.709947E+03   0.307665E+02  -0.550796E+02   0.154021E+06   0.348422E+02
  1332   0.711038E+03   0.306417E+02  -0.556921E+02   0.153795E+06   0.349717E+02
  1333   0.712178E+03   0.305138E+02  -0.562933E+02   0.153570E+06   0.351013E+02
  1334   0.713359E+03   0.303819E+02  -0.568817E+02   0.153346E+06   0.352271E+02
  1335   0.714587E+03   0.302471E+02  -0.574583E+02   0.153122E+06   0.353535E+02
  1336   0.715854E+03   0.301083E+02  -0.580215E+02   0.152898E+06   0.354754E+02
  1337   0.717166E+03   0.299667E+02  -0.585726E+02   0.152675E+06   0.355979E+02
  1338   0.718514E+03   0.298213E+02  -0.591099E+02   0.152453E+06   0.357163E+02
  1339   0.719905E+03   0.296732E+02  -0.596347E+02   0.152231E+06   0.358347E+02
  1340   0.721330E+03   0.295213E+02  -0.601453E+02   0.152009E+06   0.359484E+02
  1341   0.722795E+03   0.293669E+02  -0.606430E+02   0.151788E+06   0.360621E+02
  1342   0.724292E+03   0.292090E+02  -0.611260E+02   0.151567E+06   0.361711E+02
  1343   0.725826E+03   0.290485E+02  -0.615958E+02   0.151347E+06   0.362800E+02
  1344   0.727390E+03   0.288847E+02  -0.620507E+02   0.151127E+06   0.363847E+02
  1345   0.728988E+03   0.287185E+02  -0.624920E+02   0.150907E+06   0.364895E+02
  1346   0.730614E+03   0.285491E+02  -0.629179E+02   0.150688E+06   0.365897E+02
  1347   0.732272E+03   0.283774E+02  -0.633300E+02   0.150470E+06   0.366902E+02
  1348   0.733955E+03   0.282026E+02  -0.637265E+02   0.150252E+06   0.367862E+02
  1349   0.735667E+03   0.280257E+02  -0.641088E+02   0.150034E+06   0.368816E+02
  1350   0.737402E+03   0.278459E+02  -0.644752E+02   0.149817E+06   0.369724E+02
  1351   0.739164E+03   0.276640E+02  -0.648271E+02   0.149600E+06   0.370631E+02
  1352   0.740945E+03   0.274794E+02  -0.651629E+02   0.149384E+06   0.371487E+02
  1353   0.742750E+03   0.272929E+02  -0.654841E+02   0.149168E+06   0.372337E+02
  1354   0.744573E+03   0.271039E+02  -0.657889E+02   0.148952E+06   0.373153E+02
  1355   0.746418E+03   0.269131E+02  -0.660788E+02   0.148737E+06   0.373978E+02
  1356   0.748277E+03   0.267198E+02  -0.663522E+02   0.148522E+06   0.374764E+02
  1357   0.750155E+03   0.265250E+02  -0.666105E+02   0.148308E+06   0.375550E+02
  1358   0.752045E+03   0.263278E+02  -0.668521E+02   0.148095E+06   0.376290E+02
  1359   0.753952E+03   0.261293E+02  -0.670785E+02   0.147881E+06   0.377024E+02
  1360   0.755868E+03   0.259286E+02  -0.672880E+02   0.147668E+06   0.377713E+02
  1361   0.757798E+03   0.257266E+02  -0.674821E+02   0.147456E+06   0.378398E+02
  1362   0.759734E+03   0.255227E+02  -0.676593E+02   0.147244E+06   0.379035E+02
  1363   0.761682E+03   0.253176E+02  -0.678211E+02   0.147032E+06   0.379662E+02
  1364   0.763634E+03   0.251108E+02  -0.679659E+02   0.146821E+06   0.380242E+02
  1365   0.765595E+03   0.249029E+02  -0.680951E+02   0.146610E+06   0.380824E+02
  1366   0.767557E+03   0.246935E+02  -0.682072E+02   0.146400E+06   0.381393E+02
  1367   0.769525E+03   0.244832E+02  -0.683038E+02   0.146190E+06   0.381959E+02
  1368   0.771492E+03   0.242715E+02  -0.683832E+02   0.145981E+06   0.382482E+02
  1369   0.773463E+03   0.240590E+02  -0.684471E+02   0.145771E+06   0.382997E+02
  1370   0.775434E+03   0.238458E+02  -0.684950E+02   0.145563E+06   0.383492E+02
  1371   0.777396E+03   0.236312E+02  -0.685250E+02   0.145354E+06   0.383921E+02
  1372   0.779362E+03   0.234163E+02  -0.685402E+02   0.145147E+06   0.384359E+02
  1373   0.781317E+03   0.232002E+02  -0.685375E+02   0.144939E+06   0.384726E+02
  1374   0.783272E+03   0.229841E+02  -0.685201E+02   0.144732E+06   0.385100E+02
  1375   0.785213E+03   0.227669E+02  -0.684847E+02   0.144526E+06   0.385406E+02
  1376   0.787152E+03   0.225498E+02  -0.684349E+02   0.144319E+06   0.385715E+02
  1377   0.789075E+03   0.223317E+02  -0.683671E+02   0.144114E+06   0.386017E+02
  1378   0.790994E+03   0.221139E+02  -0.682848E+02   0.143908E+06   0.386338E+02
  1379   0.792893E+03   0.218955E+02  -0.681850E+02   0.143703E+06   0.386609E+02
  1380   0.794786E+03   0.216774E+02  -0.680705E+02   0.143499E+06   0.386882E+02
  1381   0.796657E+03   0.214588E+02  -0.679388E+02   0.143294E+06   0.387090E+02
  1382   0.798519E+03   0.212407E+02  -0.677925E+02   0.143091E+06   0.387302E+02
  1383   0.800358E+03   0.210223E+02  -0.676291E+02   0.142887E+06   0.387451E+02
  1384   0.802184E+03   0.208045E+02  -0.674514E+02   0.142684E+06   0.387603E+02
  1385   0.803985E+03   0.205866E+02  -0.672567E+02   0.142482E+06   0.387696E+02
  1386   0.805772E+03   0.203694E+02  -0.670479E+02   0.142280E+06   0.387788E+02
  1387   0.807530E+03   0.201524E+02  -0.668223E+02   0.142078E+06   0.387816E+02
  1388   0.809272E+03   0.199362E+02  -0.665828E+02   0.141876E+06   0.387897E+02
  1389   0.810984E+03   0.197203E+02  -0.663269E+02   0.141675E+06   0.387950E+02
  1390   0.812677E+03   0.195054E+02  -0.660573E+02   0.141475E+06   0.388026E+02
  1391   0.814337E+03   0.192910E+02  -0.657715E+02   0.141275E+06   0.388034E+02
  1392   0.815976E+03   0.190777E+02  -0.654722E+02   0.141075E+06   0.388044E+02
  1393   0.817581E+03   0.188650E+02  -0.651570E+02   0.140875E+06   0.387992E+02
  1394   0.819163E+03   0.186536E+02  -0.648286E+02   0.140676E+06   0.387940E+02
  1395   0.820708E+03   0.184430E+02  -0.644848E+02   0.140478E+06   0.387822E+02
  1396   0.822228E+03   0.182339E+02  -0.641279E+02   0.140279E+06   0.387700E+02
  1397   0.823709E+03   0.180257E+02  -0.637559E+02   0.140081E+06   0.387515E+02
  1398   0.825163E+03   0.178190E+02  -0.633712E+02   0.139884E+06   0.387326E+02
  1399   0.826576E+03   0.176135E+02  -0.629718E+02   0.139687E+06   0.387102E+02
  1400   0.827960E+03   0.174096E+02  -0.625599E+02   0.139490E+06   0.386950E+02
  1401   0.829302E+03   0.172070E+02  -0.621338E+02   0.139294E+06   0.386754E+02
  1402   0.830612E+03   0.170063E+02  -0.616955E+02   0.139098E+06   0.386558E+02
  1403   0.831878E+03   0.168069E+02  -0.612434E+02   0.138902E+06   0.386303E+02
  1404   0.833112E+03   0.166095E+02  -0.607795E+02   0.138707E+06   0.386043E+02
  1405   0.834299E+03   0.164137E+02  -0.603021E+02   0.138512E+06   0.385719E+02
  1406   0.835452E+03   0.162199E+02  -0.598134E+02   0.138318E+06   0.385386E+02
  1407   0.836556E+03   0.160279E+02  -0.593116E+02   0.138124E+06   0.384999E+02
  1408   0.837625E+03   0.158380E+02  -0.587989E+02   0.137930E+06   0.384606E+02
  1409   0.838645E+03   0.156500E+02  -0.582736E+02   0.137736E+06   0.384152E+02
  1410   0.839626E+03   0.154643E+02  -0.577378E+02   0.137543E+06   0.383694E+02
  1411   0.840557E+03   0.152806E+02  -0.571898E+02   0.137351E+06   0.383287E+02
  1412   0.841449E+03   0.150993E+02  -0.566318E+02   0.137159E+06   0.382891E+02
  1413   0.842288E+03   0.149201E+02  -0.560622E+02   0.136967E+06   0.382457E+02
  1414   0.843087E+03   0.147434E+02  -0.554828E+02   0.136775E+06   0.382013E+02
  1415   0.843833E+03   0.145690E+02  -0.548925E+02   0.136584E+06   0.381513E+02
  1416   0.844537E+03   0.143972E+02  -0.542928E+02   0.136393E+06   0.381000E+02
  1417   0.845186E+03   0.142278E+02  -0.536827E+02   0.136203E+06   0.380430E+02
  1418   0.845792E+03   0.140611E+02  -0.530637E+02   0.136013E+06   0.379850E+02
  1419   0.846343E+03   0.138969E+02  -0.524348E+02   0.135823E+06   0.379214E+02
  1420   0.846849E+03   0.137355E+02  -0.517976E+02   0.135634E+06   0.378564E+02
  1421   0.847298E+03   0.135767E+02  -0.511509E+02   0.135445E+06   0.377857E+02
  1422   0.847702E+03   0.134208E+02  -0.504964E+02   0.135256E+06   0.377221E+02
  1423   0.848048E+03   0.132676E+02  -0.498331E+02   0.135068E+06   0.376582E+02
  1424   0.848348E+03   0.131174E+02  -0.491624E+02   0.134880E+06   0.375961E+02
  1425   0.848598E+03   0.129702E+02  -0.484844E+02   0.134693E+06   0.375316E+02
  1426   0.848783E+03   0.128257E+02  -0.477976E+02   0.134506E+06   0.374592E+02
  1427   0.848926E+03   0.126844E+02  -0.471050E+02   0.134319E+06   0.373875E+02
  1428   0.849004E+03   0.125460E+02  -0.464042E+02   0.134132E+06   0.373080E+02
  1429   0.849039E+03   0.124109E+02  -0.456981E+02   0.133946E+06   0.372294E+02
  1430   0.849008E+03   0.122787E+02  -0.449844E+02   0.133761E+06   0.371433E+02
  1431   0.848933E+03   0.121498E+02  -0.442660E+02   0.133575E+06   0.370580E+02
  1432   0.848792E+03   0.120240E+02  -0.435405E+02   0.133390E+06   0.369651E+02
  1433   0.848607E+03   0.119015E+02  -0.428108E+02   0.133205E+06   0.368774E+02
  1434   0.848355E+03   0.117822E+02  -0.420747E+02   0.133021E+06   0.367928E+02
  1435   0.848058E+03   0.116663E+02  -0.413349E+02   0.132837E+06   0.367111E+02
  1436   0.847695E+03   0.115536E+02  -0.405893E+02   0.132653E+06   0.366232E+02
  1437   0.847286E+03   0.114443E+02  -0.398406E+02   0.132470E+06   0.365362E+02
  1438   0.846809E+03   0.113384E+02  -0.390866E+02   0.132287E+06   0.364421E+02
  1439   0.846288E+03   0.112359E+02  -0.383301E+02   0.132104E+06   0.363485E+02
  1440   0.845699E+03   0.111368E+02  -0.375690E+02   0.131922E+06   0.362477E+02
  1441   0.845064E+03   0.110412E+02  -0.368056E+02   0.131740E+06   0.361472E+02
  1442   0.844363E+03   0.109490E+02  -0.360386E+02   0.131559E+06   0.360402E+02
  1443   0.843614E+03   0.108603E+02  -0.352698E+02   0.131377E+06   0.359330E+02
  1444   0.842800E+03   0.107752E+02  -0.344979E+02   0.131197E+06   0.358195E+02
  1445   0.841939E+03   0.106936E+02  -0.337247E+02   0.131016E+06   0.357208E+02
  1446   0.841012E+03   0.106154E+02  -0.329492E+02   0.130836E+06   0.356172E+02
  1447   0.840037E+03   0.105409E+02  -0.321729E+02   0.130656E+06   0.355160E+02
  1448   0.838998E+03   0.104699E+02  -0.313948E+02   0.130476E+06   0.354083E+02
  1449   0.837911E+03   0.104026E+02  -0.306165E+02   0.130297E+06   0.353005E+02
  1450   0.836759E+03   0.103387E+02  -0.298371E+02   0.130118E+06   0.351865E+02
  1451   0.835560E+03   0.102785E+02  -0.290579E+02   0.129940E+06   0.350721E+02
  1452   0.834296E+03   0.102219E+02  -0.282783E+02   0.129761E+06   0.349510E+02
  1453   0.832986E+03   0.101689E+02  -0.274994E+02   0.129583E+06   0.348299E+02
  1454   0.831611E+03   0.101195E+02  -0.267207E+02   0.129406E+06   0.347027E+02
  1455   0.830190E+03   0.100737E+02  -0.259433E+02   0.129229E+06   0.345753E+02
  1456   0.828706E+03   0.100316E+02  -0.251667E+02   0.129052E+06   0.344520E+02
  1457   0.827175E+03   0.999301E+01  -0.243918E+02   0.128875E+06   0.343340E+02
  1458   0.825582E+03   0.995804E+01  -0.236183E+02   0.128699E+06   0.342142E+02
  1459   0.823943E+03   0.992669E+01  -0.228472E+02   0.128523E+06   0.340938E+02
  1460   0.822243E+03   0.989892E+01  -0.220780E+02   0.128347E+06   0.339679E+02
  1461   0.820497E+03   0.987477E+01  -0.213116E+02   0.128172E+06   0.338416E+02
  1462   0.818691E+03   0.985417E+01  -0.205478E+02   0.127997E+06   0.337099E+02
  1463   0.816839E+03   0.983716E+01  -0.197873E+02   0.127823E+06   0.335775E+02
  1464   0.814929E+03   0.982369E+01  -0.190300E+02   0.127648E+06   0.334396E+02
  1465   0.812974E+03   0.981379E+01  -0.182764E+02   0.127474E+06   0.333013E+02
  1466   0.810961E+03   0.980740E+01  -0.175266E+02   0.127301E+06   0.331578E+02
  1467   0.808905E+03   0.980454E+01  -0.167810E+02   0.127127E+06   0.330188E+02
  1468   0.806792E+03   0.980517E+01  -0.160397E+02   0.126954E+06   0.328850E+02
  1469   0.804636E+03   0.980930E+01  -0.153032E+02   0.126782E+06   0.327534E+02
  1470   0.802425E+03   0.981687E+01  -0.145715E+02   0.126609E+06   0.326182E+02
  1471   0.800172E+03   0.982789E+01  -0.138450E+02   0.126437E+06   0.324823E+02
  1472   0.797864E+03   0.984232E+01  -0.131239E+02   0.126265E+06   0.323413E+02
  1473   0.795516E+03   0.986015E+01  -0.124085E+02   0.126094E+06   0.321995E+02
  1474   0.793115E+03   0.988135E+01  -0.116989E+02   0.125923E+06   0.320525E+02
  1475   0.790674E+03   0.990589E+01  -0.109955E+02   0.125752E+06   0.319046E+02
  1476   0.788181E+03   0.993374E+01  -0.102984E+02   0.125582E+06   0.317517E+02
  1477   0.785650E+03   0.996489E+01  -0.960791E+01   0.125411E+06   0.315981E+02
  1478   0.783069E+03   0.999928E+01  -0.892428E+01   0.125241E+06   0.314399E+02
  1479   0.780450E+03   0.100369E+02  -0.824767E+01   0.125072E+06   0.312968E+02
  1480   0.777783E+03   0.100777E+02  -0.757837E+01   0.124903E+06   0.311501E+02
  1481   0.775080E+03   0.101217E+02  -0.691651E+01   0.124734E+06   0.310052E+02
  1482   0.772338E+03   0.101688E+02  -0.626240E+01   0.124565E+06   0.308584E+02
  1483   0.769544E+03   0.102190E+02  -0.561615E+01   0.124397E+06   0.307056E+02
  1484   0.766722E+03   0.102722E+02  -0.497804E+01   0.124229E+06   0.305535E+02
  1485   0.763849E+03   0.103284E+02  -0.434825E+01   0.124061E+06   0.303954E+02
  1486   0.760950E+03   0.103877E+02  -0.372695E+01   0.123894E+06   0.302383E+02
  1487   0.758002E+03   0.104498E+02  -0.311440E+01   0.123727E+06   0.300753E+02
  1488   0.755028E+03   0.105149E+02  -0.251067E+01   0.123560E+06   0.299131E+02
  1489   0.752008E+03   0.105827E+02  -0.191611E+01   0.123393E+06   0.297450E+02
  1490   0.748964E+03   0.106534E+02  -0.133069E+01   0.123227E+06   0.295885E+02
  1491   0.745874E+03   0.107269E+02  -0.754837E+00   0.123061E+06   0.294314E+02
  1492   0.742763E+03   0.108030E+02  -0.188418E+00   0.122896E+06   0.292788E+02
  1493   0.739608E+03   0.108818E+02   0.368042E+00   0.122730E+06   0.291208E+02
  1494   0.736432E+03   0.109633E+02   0.914778E+00   0.122565E+06   0.289635E+02
  1495   0.733216E+03   0.110473E+02   0.145119E+01   0.122401E+06   0.288009E+02
  1496   0.729980E+03   0.111338E+02   0.197761E+01   0.122236E+06   0.286388E+02
  1497   0.726705E+03   0.112228E+02   0.249336E+01   0.122072E+06   0.284712E+02
  1498   0.723412E+03   0.113143E+02   0.299885E+01   0.121909E+06   0.283039E+02
  1499   0.720082E+03   0.114080E+02   0.349336E+01   0.121745E+06   0.281316E+02
  1500   0.716736E+03   0.115041E+02   0.397736E+01   0.121582E+06   0.279601E+02
  1501   0.713355E+03   0.116025E+02   0.445008E+01   0.121419E+06   0.277889E+02
  1502   0.709959E+03   0.117031E+02   0.491207E+01   0.121256E+06   0.276282E+02
  1503   0.706531E+03   0.118058E+02   0.536249E+01   0.121094E+06   0.274648E+02
  1504   0.703089E+03   0.119106E+02   0.580197E+01   0.120932E+06   0.273030E+02
  1505   0.699617E+03   0.120174E+02   0.622963E+01   0.120770E+06   0.271362E+02
  1506   0.696132E+03   0.121263E+02   0.664616E+01   0.120609E+06   0.269695E+02
  1507   0.692621E+03   0.122370E+02   0.705062E+01   0.120448E+06   0.267985E+02
  1508   0.689098E+03   0.123496E+02   0.744379E+01   0.120287E+06   0.266279E+02
  1509   0.685551E+03   0.124640E+02   0.782468E+01   0.120126E+06   0.264530E+02
  1510   0.681993E+03   0.125802E+02   0.819411E+01   0.119966E+06   0.262782E+02
  1511   0.678413E+03   0.126981E+02   0.855109E+01   0.119806E+06   0.260991E+02
  1512   0.674825E+03   0.128176E+02   0.889646E+01   0.119647E+06   0.259208E+02
  1513   0.671217E+03   0.129386E+02   0.922923E+01   0.119487E+06   0.257532E+02
  1514   0.667603E+03   0.130612E+02   0.955027E+01   0.119328E+06   0.255866E+02
  1515   0.663970E+03   0.131851E+02   0.985856E+01   0.119169E+06   0.254185E+02
  1516   0.660333E+03   0.133105E+02   0.101550E+02   0.119011E+06   0.252505E+02
  1517   0.656680E+03   0.134372E+02   0.104386E+02   0.118852E+06   0.250787E+02
  1518   0.653023E+03   0.135652E+02   0.107103E+02   0.118694E+06   0.249069E+02
  1519   0.649354E+03   0.136943E+02   0.109691E+02   0.118537E+06   0.247314E+02
  1520   0.645683E+03   0.138246E+02   0.112159E+02   0.118379E+06   0.245558E+02
  1521   0.642001E+03   0.139559E+02   0.114496E+02   0.118222E+06   0.243766E+02
  1522   0.638319E+03   0.140883E+02   0.116713E+02   0.118065E+06   0.241977E+02
  1523   0.634628E+03   0.142215E+02   0.118799E+02   0.117909E+06   0.240153E+02
  1524   0.630939E+03   0.143557E+02   0.120765E+02   0.117752E+06   0.238431E+02
  1525   0.627243E+03   0.144906E+02   0.122599E+02   0.117596E+06   0.236718E+02
  1526   0.623551E+03   0.146263E+02   0.124313E+02   0.117441E+06   0.235038E+02
  1527   0.619854E+03   0.147627E+02   0.125895E+02   0.117285E+06   0.233324E+02
  1528   0.616162E+03   0.148997E+02   0.127357E+02   0.117130E+06   0.231604E+02
  1529   0.612468E+03   0.150372E+02   0.128687E+02   0.116975E+06   0.229843E+02
  1530   0.608781E+03   0.151752E+02   0.129897E+02   0.116821E+06   0.228081E+02
  1531   0.605093E+03   0.153136E+02   0.130976E+02   0.116666E+06   0.226295E+02
  1532   0.601414E+03   0.154524E+02   0.131935E+02   0.116512E+06   0.224509E+02
  1533   0.597737E+03   0.155915E+02   0.132763E+02   0.116358E+06   0.222698E+02
  1534   0.594070E+03   0.157308E+02   0.133472E+02   0.116205E+06   0.220885E+02
  1535   0.590406E+03   0.158702E+02   0.134051E+02   0.116052E+06   0.219099E+02
  1536   0.586755E+03   0.160098E+02   0.134512E+02   0.115899E+06   0.217393E+02
  1537   0.583109E+03   0.161493E+02   0.134844E+02   0.115746E+06   0.215679E+02
  1538   0.579477E+03   0.162889E+02   0.135058E+02   0.115594E+06   0.213972E+02
  1539   0.575857E+03   0.164285E+02   0.135151E+02   0.115441E+06   0.212256E+02
  1540   0.572242E+03   0.165677E+02   0.135114E+02   0.115290E+06   0.210501E+02
  1541   0.568647E+03   0.167068E+02   0.134965E+02   0.115138E+06   0.208760E+02
  1542   0.565059E+03   0.168455E+02   0.134686E+02   0.114987E+06   0.206982E+02
  1543   0.561492E+03   0.169840E+02   0.134298E+02   0.114836E+06   0.205218E+02
  1544   0.557934E+03   0.171219E+02   0.133780E+02   0.114685E+06   0.203420E+02
  1545   0.554398E+03   0.172596E+02   0.133155E+02   0.114534E+06   0.201636E+02
  1546   0.550873E+03   0.173965E+02   0.132403E+02   0.114384E+06   0.199828E+02
  1547   0.547372E+03   0.175330E+02   0.131544E+02   0.114234E+06   0.198147E+02
  1548   0.543884E+03   0.176687E+02   0.130561E+02   0.114084E+06   0.196440E+02
  1549   0.540421E+03   0.178038E+02   0.129473E+02   0.113935E+06   0.194763E+02
  1550   0.536973E+03   0.179380E+02   0.128262E+02   0.113786E+06   0.193052E+02
  1551   0.533551E+03   0.180715E+02   0.126949E+02   0.113637E+06   0.191351E+02
  1552   0.530146E+03   0.182039E+02   0.125516E+02   0.113488E+06   0.189617E+02
  1553   0.526768E+03   0.183356E+02   0.123982E+02   0.113339E+06   0.187895E+02
  1554   0.523409E+03   0.184661E+02   0.122330E+02   0.113191E+06   0.186145E+02
  1555   0.520078E+03   0.185957E+02   0.120580E+02   0.113043E+06   0.184406E+02
  1556   0.516767E+03   0.187239E+02   0.118714E+02   0.112896E+06   0.182638E+02
  1557   0.513487E+03   0.188512E+02   0.116753E+02   0.112748E+06   0.180877E+02
  1558   0.510228E+03   0.189770E+02   0.114680E+02   0.112601E+06   0.179177E+02
  1559   0.507001E+03   0.191018E+02   0.112513E+02   0.112454E+06   0.177513E+02
  1560   0.503796E+03   0.192250E+02   0.110237E+02   0.112308E+06   0.175850E+02
  1561   0.500624E+03   0.193470E+02   0.107870E+02   0.112162E+06   0.174197E+02
