#    L    TT             EE             BB             TE          
    91   0.255847E+04   0.730093E+00   0.680276E-01  -0.199925E+02
    92   0.258391E+04   0.746070E+00   0.679811E-01  -0.206011E+02
    93   0.260969E+04   0.761951E+00   0.679094E-01  -0.212127E+02
    94   0.263597E+04   0.777764E+00   0.678131E-01  -0.218297E+02
    95   0.266293E+04   0.793520E+00   0.676966E-01  -0.224534E+02
    96   0.268997E+04   0.809229E+00   0.675430E-01  -0.230792E+02
    97   0.271689E+04   0.824808E+00   0.673559E-01  -0.237027E+02
    98   0.274378E+04   0.840173E+00   0.671429E-01  -0.243222E+02
    99   0.277111E+04   0.855339E+00   0.669108E-01  -0.249422E+02
   100   0.279907E+04   0.870367E+00   0.666585E-01  -0.255666E+02
   101   0.282748E+04   0.885264E+00   0.663822E-01  -0.261939E+02
   102   0.285611E+04   0.899994E+00   0.660800E-01  -0.268212E+02
   103   0.288485E+04   0.914524E+00   0.657512E-01  -0.274463E+02
   104   0.291365E+04   0.928819E+00   0.653977E-01  -0.280678E+02
   105   0.294260E+04   0.942845E+00   0.650239E-01  -0.286853E+02
   106   0.297190E+04   0.956597E+00   0.646334E-01  -0.293004E+02
   107   0.300177E+04   0.970082E+00   0.642298E-01  -0.299151E+02
   108   0.303201E+04   0.983364E+00   0.638022E-01  -0.305297E+02
   109   0.306234E+04   0.996392E+00   0.633503E-01  -0.311394E+02
   110   0.309251E+04   0.100909E+01   0.628748E-01  -0.317409E+02
   111   0.312265E+04   0.102140E+01   0.623832E-01  -0.323337E+02
   112   0.315319E+04   0.103335E+01   0.618814E-01  -0.329218E+02
   113   0.318429E+04   0.104500E+01   0.613683E-01  -0.335078E+02
   114   0.321575E+04   0.105633E+01   0.608402E-01  -0.340898E+02
   115   0.324735E+04   0.106733E+01   0.602956E-01  -0.346647E+02
   116   0.327899E+04   0.107795E+01   0.597347E-01  -0.352308E+02
   117   0.331062E+04   0.108817E+01   0.591592E-01  -0.357867E+02
   118   0.334234E+04   0.109795E+01   0.585725E-01  -0.363329E+02
   119   0.337421E+04   0.110727E+01   0.579794E-01  -0.368692E+02
   120   0.340682E+04   0.111627E+01   0.573801E-01  -0.374028E+02
   121   0.343957E+04   0.112487E+01   0.567682E-01  -0.379269E+02
   122   0.347226E+04   0.113305E+01   0.561428E-01  -0.384387E+02
   123   0.350473E+04   0.114076E+01   0.555051E-01  -0.389361E+02
   124   0.353711E+04   0.114795E+01   0.548625E-01  -0.394190E+02
   125   0.356978E+04   0.115466E+01   0.542189E-01  -0.398908E+02
   126   0.360289E+04   0.116092E+01   0.535732E-01  -0.403534E+02
   127   0.363625E+04   0.116676E+01   0.529224E-01  -0.408052E+02
   128   0.366966E+04   0.117214E+01   0.522650E-01  -0.412437E+02
   129   0.370299E+04   0.117704E+01   0.516012E-01  -0.416673E+02
   130   0.373620E+04   0.118143E+01   0.509332E-01  -0.420745E+02
   131   0.376937E+04   0.118530E+01   0.502648E-01  -0.424653E+02
   132   0.380267E+04   0.118865E+01   0.495986E-01  -0.428412E+02
   133   0.383640E+04   0.119152E+01   0.489397E-01  -0.432047E+02
   134   0.387019E+04   0.119395E+01   0.482751E-01  -0.435531E+02
   135   0.390379E+04   0.119588E+01   0.476060E-01  -0.438834E+02
   136   0.393703E+04   0.119727E+01   0.469351E-01  -0.441933E+02
   137   0.397008E+04   0.119810E+01   0.462685E-01  -0.444833E+02
   138   0.400325E+04   0.119840E+01   0.456104E-01  -0.447560E+02
   139   0.403670E+04   0.119822E+01   0.449588E-01  -0.450129E+02
   140   0.407025E+04   0.119758E+01   0.443114E-01  -0.452526E+02
   141   0.410371E+04   0.119646E+01   0.436668E-01  -0.454727E+02
   142   0.413700E+04   0.119484E+01   0.430252E-01  -0.456720E+02
   143   0.416996E+04   0.119272E+01   0.423859E-01  -0.458494E+02
   144   0.420284E+04   0.119002E+01   0.417592E-01  -0.460043E+02
   145   0.423553E+04   0.118688E+01   0.411359E-01  -0.461386E+02
   146   0.426861E+04   0.118326E+01   0.405257E-01  -0.462553E+02
   147   0.430137E+04   0.117916E+01   0.399222E-01  -0.463489E+02
   148   0.433451E+04   0.117472E+01   0.393257E-01  -0.464266E+02
   149   0.436665E+04   0.116963E+01   0.387379E-01  -0.464722E+02
   150   0.439855E+04   0.116419E+01   0.381541E-01  -0.464966E+02
   151   0.443071E+04   0.115825E+01   0.375902E-01  -0.464993E+02
   152   0.446229E+04   0.115187E+01   0.370345E-01  -0.464763E+02
   153   0.449397E+04   0.114513E+01   0.364868E-01  -0.464321E+02
   154   0.452565E+04   0.113801E+01   0.359551E-01  -0.463663E+02
   155   0.455646E+04   0.113045E+01   0.354275E-01  -0.462703E+02
   156   0.458744E+04   0.112259E+01   0.349139E-01  -0.461540E+02
   157   0.461781E+04   0.111426E+01   0.344141E-01  -0.460082E+02
   158   0.464800E+04   0.110562E+01   0.339245E-01  -0.458390E+02
   159   0.467831E+04   0.109662E+01   0.334521E-01  -0.456462E+02
   160   0.470827E+04   0.108729E+01   0.329914E-01  -0.454279E+02
