#    L    TT             EE             BB             TE          
    91   0.255616E+04   0.728014E+00   0.655270E-01  -0.199979E+02
    92   0.258158E+04   0.743957E+00   0.654249E-01  -0.206074E+02
    93   0.260734E+04   0.759804E+00   0.652969E-01  -0.212199E+02
    94   0.263361E+04   0.775582E+00   0.651437E-01  -0.218378E+02
    95   0.266054E+04   0.791304E+00   0.649696E-01  -0.224625E+02
    96   0.268756E+04   0.806979E+00   0.647577E-01  -0.230893E+02
    97   0.271447E+04   0.822523E+00   0.645117E-01  -0.237138E+02
    98   0.274134E+04   0.837853E+00   0.642392E-01  -0.243345E+02
    99   0.276865E+04   0.852984E+00   0.639470E-01  -0.249557E+02
   100   0.279661E+04   0.867977E+00   0.636338E-01  -0.255813E+02
   101   0.282500E+04   0.882838E+00   0.632960E-01  -0.262099E+02
   102   0.285362E+04   0.897532E+00   0.629315E-01  -0.268385E+02
   103   0.288235E+04   0.912026E+00   0.625399E-01  -0.274651E+02
   104   0.291114E+04   0.926285E+00   0.621228E-01  -0.280880E+02
   105   0.294008E+04   0.940274E+00   0.616848E-01  -0.287070E+02
   106   0.296938E+04   0.953989E+00   0.612293E-01  -0.293236E+02
   107   0.299924E+04   0.967436E+00   0.607600E-01  -0.299399E+02
   108   0.302948E+04   0.980679E+00   0.602660E-01  -0.305561E+02
   109   0.305981E+04   0.993668E+00   0.597469E-01  -0.311676E+02
   110   0.308997E+04   0.100633E+01   0.592036E-01  -0.317708E+02
   111   0.312012E+04   0.101860E+01   0.586435E-01  -0.323654E+02
   112   0.315066E+04   0.103051E+01   0.580723E-01  -0.329554E+02
   113   0.318177E+04   0.104211E+01   0.574892E-01  -0.335434E+02
   114   0.321324E+04   0.105340E+01   0.568903E-01  -0.341273E+02
   115   0.324485E+04   0.106435E+01   0.562741E-01  -0.347043E+02
   116   0.327650E+04   0.107493E+01   0.556409E-01  -0.352724E+02
   117   0.330815E+04   0.108510E+01   0.549923E-01  -0.358305E+02
   118   0.333988E+04   0.109483E+01   0.543318E-01  -0.363789E+02
