#    L    TT             EE             BB             TE          
    90   0.134363E+03   0.946551E-01   0.655988E-01  -0.276465E+01
    91   0.130496E+03   0.952150E-01   0.655270E-01  -0.274221E+01
    92   0.126682E+03   0.957104E-01   0.654249E-01  -0.271751E+01
    93   0.122922E+03   0.961416E-01   0.652969E-01  -0.269065E+01
    94   0.119219E+03   0.965433E-01   0.651437E-01  -0.266262E+01
    95   0.115575E+03   0.969276E-01   0.649696E-01  -0.263386E+01
    96   0.111987E+03   0.973316E-01   0.647577E-01  -0.260519E+01
    97   0.108457E+03   0.976917E-01   0.645117E-01  -0.257500E+01
    98   0.104987E+03   0.979476E-01   0.642392E-01  -0.254199E+01
    99   0.101578E+03   0.981250E-01   0.639470E-01  -0.250694E+01
   100   0.982306E+02   0.982899E-01   0.636338E-01  -0.247141E+01
   101   0.949462E+02   0.984550E-01   0.632960E-01  -0.243571E+01
   102   0.917248E+02   0.985991E-01   0.629315E-01  -0.239938E+01
   103   0.885666E+02   0.987095E-01   0.625399E-01  -0.236221E+01
   104   0.854722E+02   0.987722E-01   0.621228E-01  -0.232393E+01
   105   0.824420E+02   0.987718E-01   0.616848E-01  -0.228431E+01
   106   0.794769E+02   0.987156E-01   0.612293E-01  -0.224359E+01
   107   0.765785E+02   0.986083E-01   0.607600E-01  -0.220191E+01
   108   0.737438E+02   0.985294E-01   0.602660E-01  -0.216072E+01
   109   0.709745E+02   0.984429E-01   0.597469E-01  -0.211939E+01
   110   0.682705E+02   0.983010E-01   0.592036E-01  -0.207715E+01
   111   0.656318E+02   0.980609E-01   0.586435E-01  -0.203341E+01
   112   0.630588E+02   0.977596E-01   0.580723E-01  -0.198882E+01
   113   0.605515E+02   0.974528E-01   0.574892E-01  -0.194432E+01
   114   0.581098E+02   0.971441E-01   0.568903E-01  -0.190002E+01
   115   0.557333E+02   0.968146E-01   0.562741E-01  -0.185561E+01
   116   0.534218E+02   0.964534E-01   0.556409E-01  -0.181093E+01
   117   0.511746E+02   0.960436E-01   0.549923E-01  -0.176579E+01
   118   0.489916E+02   0.955728E-01   0.543318E-01  -0.172013E+01
   119   0.468734E+02   0.950135E-01   0.536641E-01  -0.167371E+01
   120   0.448177E+02   0.945065E-01   0.529893E-01  -0.162831E+01
   121   0.428251E+02   0.939913E-01   0.523013E-01  -0.158316E+01
   122   0.408946E+02   0.934627E-01   0.515989E-01  -0.153822E+01
   123   0.390261E+02   0.928790E-01   0.508835E-01  -0.149305E+01
   124   0.372188E+02   0.922114E-01   0.501623E-01  -0.144738E+01
   125   0.354720E+02   0.914949E-01   0.494394E-01  -0.140167E+01
   126   0.337851E+02   0.907764E-01   0.487135E-01  -0.135643E+01
   127   0.321574E+02   0.900609E-01   0.479816E-01  -0.131174E+01
   128   0.305880E+02   0.893339E-01   0.472424E-01  -0.126746E+01
   129   0.290762E+02   0.885843E-01   0.464959E-01  -0.122353E+01
   130   0.276212E+02   0.877967E-01   0.457445E-01  -0.117984E+01
   131   0.262221E+02   0.869607E-01   0.449917E-01  -0.113632E+01
   132   0.248780E+02   0.860896E-01   0.442403E-01  -0.109313E+01
   133   0.235885E+02   0.851910E-01   0.434954E-01  -0.105038E+01
   134   0.223517E+02   0.843311E-01   0.427439E-01  -0.100850E+01
   135   0.211670E+02   0.834610E-01   0.419870E-01  -0.967169E+00
   136   0.200334E+02   0.825471E-01   0.412274E-01  -0.926234E+00
   137   0.189501E+02   0.815691E-01   0.404713E-01  -0.885595E+00
   138   0.179159E+02   0.805597E-01   0.397227E-01  -0.845490E+00
   139   0.169301E+02   0.795562E-01   0.389798E-01  -0.806146E+00
   140   0.159915E+02   0.785630E-01   0.382401E-01  -0.767605E+00
   141   0.150990E+02   0.775669E-01   0.375023E-01  -0.729783E+00
   142   0.142515E+02   0.765609E-01   0.367667E-01  -0.692650E+00
   143   0.134480E+02   0.755331E-01   0.360324E-01  -0.656179E+00
   144   0.126870E+02   0.744452E-01   0.353097E-01  -0.620197E+00
   145   0.119680E+02   0.733593E-01   0.345896E-01  -0.585041E+00
   146   0.112895E+02   0.722856E-01   0.338815E-01  -0.550728E+00
   147   0.106507E+02   0.711801E-01   0.331792E-01  -0.517124E+00
   148   0.100504E+02   0.701491E-01   0.324829E-01  -0.484600E+00
   149   0.948704E+01   0.690146E-01   0.317945E-01  -0.452571E+00
   150   0.896024E+01   0.679075E-01   0.311091E-01  -0.421476E+00
   151   0.846821E+01   0.667827E-01   0.304425E-01  -0.391108E+00
   152   0.801040E+01   0.656125E-01   0.297833E-01  -0.361498E+00
   153   0.758522E+01   0.645076E-01   0.291310E-01  -0.332873E+00
   154   0.719197E+01   0.633833E-01   0.284939E-01  -0.305081E+00
   155   0.682914E+01   0.622534E-01   0.278599E-01  -0.278158E+00
   156   0.649600E+01   0.611506E-01   0.272388E-01  -0.252129E+00
   157   0.619118E+01   0.599942E-01   0.266306E-01  -0.226885E+00
   158   0.591384E+01   0.588564E-01   0.260316E-01  -0.202549E+00
   159   0.566270E+01   0.577210E-01   0.254488E-01  -0.179029E+00
   160   0.543687E+01   0.565767E-01   0.248768E-01  -0.156398E+00
   161   0.523526E+01   0.554932E-01   0.243168E-01  -0.134633E+00
   162   0.505667E+01   0.543480E-01   0.237666E-01  -0.113729E+00
   163   0.490030E+01   0.532459E-01   0.232259E-01  -0.937245E-01
   164   0.476491E+01   0.521261E-01   0.227042E-01  -0.745577E-01
   165   0.464967E+01   0.509891E-01   0.221943E-01  -0.562686E-01
   166   0.455344E+01   0.499069E-01   0.216972E-01  -0.387775E-01
   167   0.447540E+01   0.488138E-01   0.212162E-01  -0.221474E-01
   168   0.441447E+01   0.477361E-01   0.207431E-01  -0.634124E-02
   169   0.436980E+01   0.466864E-01   0.202855E-01   0.866158E-02
   170   0.434040E+01   0.456100E-01   0.198410E-01   0.227760E-01
   171   0.432544E+01   0.445592E-01   0.194090E-01   0.361112E-01
   172   0.432394E+01   0.435172E-01   0.189938E-01   0.486312E-01
   173   0.433513E+01   0.424800E-01   0.185906E-01   0.603472E-01
   174   0.435811E+01   0.414911E-01   0.182032E-01   0.714108E-01
   175   0.439201E+01   0.404819E-01   0.178257E-01   0.815645E-01
   176   0.443615E+01   0.395116E-01   0.174601E-01   0.910851E-01
   177   0.448953E+01   0.385321E-01   0.171125E-01   0.997792E-01
   178   0.455164E+01   0.375598E-01   0.167758E-01   0.107694E+00
   179   0.462143E+01   0.366274E-01   0.164536E-01   0.115036E+00
   180   0.469845E+01   0.356992E-01   0.161467E-01   0.121600E+00
   181   0.478176E+01   0.348001E-01   0.158492E-01   0.127539E+00
   182   0.487086E+01   0.339260E-01   0.155665E-01   0.132871E+00
   183   0.496495E+01   0.330490E-01   0.152960E-01   0.137430E+00
   184   0.506351E+01   0.322018E-01   0.150375E-01   0.141426E+00
   185   0.516579E+01   0.313640E-01   0.147938E-01   0.144771E+00
   186   0.527132E+01   0.305432E-01   0.145616E-01   0.147497E+00
   187   0.537947E+01   0.297596E-01   0.143432E-01   0.149780E+00
   188   0.548959E+01   0.289801E-01   0.141341E-01   0.151381E+00
   189   0.560133E+01   0.282406E-01   0.139365E-01   0.152582E+00
   190   0.571395E+01   0.275013E-01   0.137524E-01   0.153111E+00
   191   0.582725E+01   0.267808E-01   0.135786E-01   0.153116E+00
   192   0.594040E+01   0.260936E-01   0.134173E-01   0.152738E+00
   193   0.605334E+01   0.254156E-01   0.132675E-01   0.151805E+00
   194   0.616525E+01   0.247701E-01   0.131269E-01   0.150520E+00
   195   0.627611E+01   0.241497E-01   0.129976E-01   0.148841E+00
   196   0.638518E+01   0.235398E-01   0.128775E-01   0.146646E+00
   197   0.649246E+01   0.229604E-01   0.127675E-01   0.144140E+00
   198   0.659724E+01   0.223952E-01   0.126680E-01   0.141187E+00
   199   0.669953E+01   0.218508E-01   0.125773E-01   0.137872E+00
   200   0.679872E+01   0.213346E-01   0.124962E-01   0.134302E+00
   201   0.689478E+01   0.208368E-01   0.124240E-01   0.130373E+00
   202   0.698738E+01   0.203698E-01   0.123595E-01   0.126276E+00
   203   0.707599E+01   0.199133E-01   0.123040E-01   0.121740E+00
   204   0.716085E+01   0.194804E-01   0.122554E-01   0.116969E+00
   205   0.724127E+01   0.190714E-01   0.122155E-01   0.111999E+00
   206   0.731754E+01   0.186795E-01   0.121832E-01   0.106727E+00
   207   0.738902E+01   0.183157E-01   0.121570E-01   0.101356E+00
   208   0.745603E+01   0.179726E-01   0.121384E-01   0.958046E-01
   209   0.751799E+01   0.176484E-01   0.121255E-01   0.900290E-01
   210   0.757522E+01   0.173480E-01   0.121186E-01   0.841723E-01
   211   0.762716E+01   0.170638E-01   0.121180E-01   0.780954E-01
   212   0.767420E+01   0.168011E-01   0.121225E-01   0.719101E-01
   213   0.771578E+01   0.165597E-01   0.121324E-01   0.656628E-01
   214   0.775229E+01   0.163372E-01   0.121473E-01   0.592944E-01
   215   0.778325E+01   0.161366E-01   0.121665E-01   0.529110E-01
   216   0.780899E+01   0.159550E-01   0.121902E-01   0.464728E-01
   217   0.782943E+01   0.157919E-01   0.122174E-01   0.399819E-01
   218   0.784408E+01   0.156471E-01   0.122488E-01   0.334582E-01
   219   0.785368E+01   0.155188E-01   0.122835E-01   0.268692E-01
   220   0.785754E+01   0.154109E-01   0.123211E-01   0.203694E-01
   221   0.785635E+01   0.153199E-01   0.123618E-01   0.138698E-01
   222   0.784959E+01   0.152459E-01   0.124046E-01   0.739237E-02
   223   0.783784E+01   0.151897E-01   0.124497E-01   0.101083E-02
   224   0.782069E+01   0.151484E-01   0.124968E-01  -0.538165E-02
   225   0.779867E+01   0.151232E-01   0.125455E-01  -0.116866E-01
   226   0.777139E+01   0.151136E-01   0.125958E-01  -0.179060E-01
   227   0.773941E+01   0.151183E-01   0.126472E-01  -0.240641E-01
   228   0.770238E+01   0.151379E-01   0.126995E-01  -0.300772E-01
   229   0.766083E+01   0.151715E-01   0.127525E-01  -0.359858E-01
   230   0.761445E+01   0.152183E-01   0.128057E-01  -0.417801E-01
   231   0.756374E+01   0.152782E-01   0.128592E-01  -0.474234E-01
   232   0.750846E+01   0.153505E-01   0.129126E-01  -0.529557E-01
   233   0.744907E+01   0.154345E-01   0.129657E-01  -0.583354E-01
   234   0.738566E+01   0.155299E-01   0.130184E-01  -0.635726E-01
   235   0.731790E+01   0.156361E-01   0.130703E-01  -0.686175E-01
   236   0.724665E+01   0.157523E-01   0.131213E-01  -0.734823E-01
   237   0.717144E+01   0.158786E-01   0.131711E-01  -0.781993E-01
   238   0.709300E+01   0.160139E-01   0.132198E-01  -0.827128E-01
   239   0.701098E+01   0.161580E-01   0.132669E-01  -0.870570E-01
   240   0.692603E+01   0.163105E-01   0.133124E-01  -0.912170E-01
   241   0.683784E+01   0.164700E-01   0.133560E-01  -0.951567E-01
   242   0.674702E+01   0.166368E-01   0.133976E-01  -0.989151E-01
   243   0.665334E+01   0.168098E-01   0.134372E-01  -0.102451E+00
   244   0.655734E+01   0.169884E-01   0.134744E-01  -0.105779E+00
   245   0.645883E+01   0.171728E-01   0.135092E-01  -0.108910E+00
   246   0.635830E+01   0.173616E-01   0.135416E-01  -0.111816E+00
   247   0.625560E+01   0.175551E-01   0.135712E-01  -0.114520E+00
   248   0.615121E+01   0.177525E-01   0.135981E-01  -0.117009E+00
   249   0.604523E+01   0.179528E-01   0.136221E-01  -0.119278E+00
   250   0.593744E+01   0.181557E-01   0.136432E-01  -0.121323E+00
   251   0.582862E+01   0.183600E-01   0.136613E-01  -0.123136E+00
   252   0.571838E+01   0.185669E-01   0.136763E-01  -0.124751E+00
   253   0.560742E+01   0.187747E-01   0.136881E-01  -0.126146E+00
   254   0.549544E+01   0.189830E-01   0.136965E-01  -0.127318E+00
